player,nationality,position,team,age,tackles,tackles_won,challenges,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions
Max Aarons,engENG,DF,Bournemouth,25-097,2,2,1,0,3,1,2,1
Joshua Acheampong,engENG,DF,Chelsea,18-341,2,1,2,0,1,0,1,1
Tyler Adams,usUSA,MF,Bournemouth,26-056,70,43,57,26,24,6,18,29
Tosin Adarabioyo,engENG,DF,Chelsea,27-199,14,10,12,4,9,7,2,10
Simon Adingra,ciCIV,"FW,MF",Brighton,23-100,14,7,18,12,7,0,7,7
Emmanuel Agbadou,ciCIV,DF,Wolves,27-298,18,12,13,5,10,8,2,8
Asher Agbinone,engENG,MF,Crystal Palace,19-195,2,1,0,0,0,0,0,0
Ola Aina,ngNGA,DF,Nott'ham Forest,28-185,53,40,58,24,32,12,20,30
Rayan Aït-Nouri,dzALG,DF,Wolves,23-309,77,47,63,24,38,6,32,21
Kristoffer Ajer,noNOR,DF,Brentford,26-359,22,15,24,12,16,3,13,11
Manuel Akanji,chSUI,DF,Manchester City,29-266,15,10,12,5,11,8,3,7
Nathan Aké,nlNED,DF,Manchester City,30-052,9,7,6,2,7,2,5,3
Carlos Alcaraz,arARG,MF,Southampton,22-132,0,0,0,0,0,0,0,1
Carlos Alcaraz,arARG,"MF,FW",Everton,22-132,11,5,8,5,4,1,3,3
Trent Alexander-Arnold,engENG,DF,Liverpool,26-186,67,47,99,53,25,8,17,30
Alisson,brBRA,GK,Liverpool,32-191,1,0,1,1,0,0,0,0
Miguel Almirón,pyPAR,FW,Newcastle Utd,31-060,3,2,3,1,2,0,2,0
Edson Álvarez,mxMEX,MF,West Ham,27-169,44,23,33,18,21,8,13,16
Will Alves,engENG,FW,Leicester City,20-067,0,0,0,0,0,0,0,0
Harry Amass,engENG,DF,Manchester Utd,18-026,2,0,1,1,0,0,0,1
Samuel Amo-Ameyaw,engENG,"FW,DF",Southampton,18-267,1,0,1,0,0,0,0,0
Mathis Amougou,frFRA,MF,Chelsea,19-083,0,0,0,0,0,0,0,0
