player,nationality,position,team,age,sca,sca_per90,gca,gca_per90
Max Aarons,engENG,DF,Bournemouth,25-097,2,2.09,0,0.00
Joshua Acheampong,engENG,DF,Chelsea,18-341,2,1.06,0,0.00
Tyler Adams,usUSA,MF,Bournemouth,26-056,30,1.96,4,0.26
Tosin Adarabioyo,engENG,DF,Chelsea,27-199,11,0.84,1,0.08
Simon Adingra,ciCIV,"FW,MF",Brighton,23-100,28,3.39,4,0.48
Emmanuel Agbadou,ciCIV,DF,Wolves,27-298,10,1.15,1,0.12
Asher Agbinone,engENG,MF,Crystal Palace,19-195,1,15.00,0,0.00
Ola Aina,ngNGA,DF,Nott'ham Forest,28-185,50,1.75,3,0.11
Rayan Aït-Nouri,dzALG,DF,Wolves,23-309,66,2.33,9,0.32
Kristoffer Ajer,noNOR,DF,Brentford,26-359,17,1.18,2,0.14
Manuel Akanji,chSUI,DF,Manchester City,29-266,34,1.79,2,0.11
Nathan Aké,nlNED,DF,Manchester City,30-052,8,1.06,0,0.00
Carlos Alcaraz,arARG,MF,Southampton,22-132,1,9.00,0,0.00
Carlos Alcaraz,arARG,"MF,FW",Everton,22-132,18,3.95,2,0.44
Trent Alexander-Arnold,engENG,DF,Liverpool,26-186,92,3.86,10,0.42
Alisson,brBRA,GK,Liverpool,32-191,6,0.29,1,0.05
Miguel Almirón,pyPAR,FW,Newcastle Utd,31-060,8,4.59,0,0.00
Edson Álvarez,mxMEX,MF,West Ham,27-169,25,1.38,2,0.11
Will Alves,engENG,FW,Leicester City,20-067,0,0.00,0,0.00
Harry Amass,engENG,DF,Manchester Utd,18-026,0,0.00,0,0.00
Samuel Amo-Ameyaw,engENG,"FW,DF",Southampton,18-267,2,6.43,0,0.00
Mathis Amougou,frFRA,MF,Chelsea,19-083,0,0.00,0,0.00
Joachim Andersen,dkDEN,DF,Crystal Palace,28-315,1,1.00,0,0.00
Joachim Andersen,dkDEN,DF,Fulham,28-315,23,1.07,2,0.09
Elliot Anderson,engENG,MF,Nott'ham Forest,22-156,72,3.03,10,0.42
André,brBRA,MF,Wolves,23-269,39,1.84,3,0.14
Michail Antonio,jmJAM,FW,West Ham,35-014,22,2.37,4,0.43
Antony,brBRA,"DF,MF",Manchester Utd,25-046,8,5.11,0,0.00
Julian Araujo,mxMEX,DF,Bournemouth,23-241,2,0.51,0,0.00
Cameron Archer,engENG,FW,Southampton,23-264,15,1.08,0,0.00
Alphonse Areola,frFRA,GK,West Ham,32-043,3,0.16,0,0.00
Joe Aribo,ngNGA,"MF,DF",Southampton,28-264,37,1.75,1,0.05
Adam Armstrong,engENG,"FW,MF",Southampton,28-060,19,1.37,4,0.29
Harrison Armstrong,engENG,MF,Everton,18-082,1,1.87,0,0.00
Kepa Arrizabalaga,esESP,GK,Bournemouth,30-190,4,0.17,0,0.00
Marco Asensio,esESP,"MF,FW",Aston Villa,29-080,11,3.25,1,0.30
Brandon Austin,engENG,GK,Tottenham,26-093,0,0.00,0,0.00
Taiwo Awoniyi,ngNGA,FW,Nott'ham Forest,27-242,9,2.23,1,0.25
Yasin Ayari,seSWE,MF,Brighton,21-187,50,2.91,5,0.29
Jordan Ayew,ghGHA,"FW,MF",Crystal Palace,33-212,1,4.29,0,0.00
Jordan Ayew,ghGHA,"FW,MF",Leicester City,33-212,30,2.06,1,0.07
Benoît Badiashile,frFRA,DF,Chelsea,24-016,0,0.00,0,0.00
Leon Bailey,jmJAM,"FW,MF",Aston Villa,27-245,38,3.01,4,0.32
Carlos Baleba,cmCMR,MF,Brighton,21-098,56,2.45,4,0.18
Ross Barkley,engENG,MF,Aston Villa,31-127,16,2.60,3,0.49
Harvey Barnes,engENG,FW,Newcastle Utd,27-123,45,3.73,8,0.66
Calvin Bassey,ngNGA,DF,Fulham,25-101,18,0.64,2,0.07
Jan Bednarek,plPOL,DF,Southampton,28-364,15,0.65,0,0.00
Armel Bella Kotchap,deGER,DF,Southampton,23-121,2,0.54,0,0.00
Jean-Ricner Bellegarde,frFRA,"MF,FW",Wolves,26-288,51,3.19,9,0.56
Rodrigo Bentancur,uyURU,MF,Tottenham,27-290,39,2.52,2,0.13
Sander Berge,noNOR,MF,Fulham,27-056,39,1.92,2,0.10
Lucas Bergvall,seSWE,MF,Tottenham,19-068,18,1.50,3,0.25
Victor Bernth Kristiansen,dkDEN,DF,Leicester City,22-116,41,1.55,3,0.11
Beto,gwGNB,FW,Everton,27-070,16,1.34,0,0.00
Philip Billing,dkDEN,MF,Bournemouth,28-304,16,7.83,0,0.00
Yves Bissouma,mlMLI,MF,Tottenham,28-224,15,1.17,0,0.00
Oscar Bobb,noNOR,FW,Manchester City,21-273,0,0.00,0,0.00
Lamare Bogarde,nlNED,"DF,MF",Aston Villa,21-096,10,1.89,1,0.19
Willy Boly,ciCIV,DF,Nott'ham Forest,34-067,0,0.00,0,0.00
Sven Botman,nlNED,DF,Newcastle Utd,25-089,0,0.00,0,0.00
Jarrod Bowen,engENG,"FW,MF",West Ham,28-112,96,3.65,11,0.42
Conor Bradley,nirNIR,DF,Liverpool,21-276,10,2.28,2,0.46
Jarrad Branthwaite,engENG,DF,Everton,22-288,12,0.54,2,0.09
James Bree,engENG,DF,Southampton,27-182,15,1.52,1,0.10
Ben Brereton,clCHI,FW,Southampton,25-358,9,1.80,0,0.00
Nathan Broadhead,wlsWAL,"MF,FW",Ipswich Town,27-006,17,2.60,2,0.31
Armando Broja,alALB,FW,Everton,23-213,4,1.73,0,0.00
David Brooks,wlsWAL,"FW,MF",Bournemouth,27-277,34,3.86,2,0.23
Emi Buendía,arARG,"MF,FW",Aston Villa,28-107,3,2.76,0,0.00
Santiago Bueno,uyURU,DF,Wolves,26-153,11,0.64,4,0.23
Facundo Buonanotte,arARG,"FW,MF",Leicester City,20-109,46,2.96,4,0.26
Cameron Burgess,auAUS,DF,Ipswich Town,29-172,9,0.72,2,0.16
Dan Burn,engENG,DF,Newcastle Utd,32-337,16,0.55,3,0.10
Wes Burns,wlsWAL,"FW,DF",Ipswich Town,30-139,16,1.55,1,0.10
Moisés Caicedo,ecECU,MF,Chelsea,23-160,84,2.78,7,0.23
Tom Cairney,sctSCO,MF,Fulham,34-081,24,4.91,2,0.41
Jens Cajuste,seSWE,MF,Ipswich Town,25-244,27,1.51,1,0.06
Riccardo Calafiori,itITA,DF,Arsenal,22-327,13,1.26,2,0.19
Dominic Calvert-Lewin,engENG,FW,Everton,28-026,25,1.43,4,0.23
Diego Carlos,brBRA,DF,Aston Villa,32-027,4,0.43,0,0.00
