player,nationality,position,team,age,gk_goals_against_per90,gk_save_pct,gk_clean_sheets_pct,gk_pens_save_pct
Alisson,brBRA,GK,Liverpool,32-191,0.86,71.9,38.1,N/a
Alphonse Areola,frFRA,GK,West Ham,32-043,1.67,61.9,21.1,N/a
Kepa Arrizabalaga,esESP,GK,Bournemouth,30-190,1.37,73.4,20.8,0.0
Brandon Austin,engENG,GK,Tottenham,26-093,2.00,50.0,0.0,N/a
Martin Dúbravka,skSVK,GK,Newcastle Utd,36-086,1.20,70.7,50.0,N/a
Ederson,brBRA,GK,Manchester City,31-237,1.10,70.4,33.3,0.0
Łukasz Fabiański,plPOL,GK,West Ham,39-358,1.68,74.6,16.7,0.0
Mark Flekken,nlNED,GK,Brentford,31-302,1.53,74.1,16.7,0.0
Fraser Forster,engENG,GK,Tottenham,37-025,2.14,69.0,14.3,0.0
Dean Henderson,engENG,GK,Crystal Palace,28-030,1.17,70.7,30.0,50.0
Mads Hermansen,dkDEN,GK,Leicester City,24-274,2.21,62.2,4.2,50.0
Vitezslav Jaros,czCZE,GK,Liverpool,23-262,0.00,100.0,N/a,N/a
Sam Johnstone,engENG,GK,Wolves,32-017,2.43,61.5,0.0,0.0
Filip Jørgensen,dkDEN,GK,Chelsea,22-360,1.50,71.4,16.7,0.0
Caoimhín Kelleher,ieIRL,GK,Liverpool,26-139,1.20,67.6,40.0,100.0
Antonín Kinský,czCZE,GK,Tottenham,22-029,1.75,56.3,25.0,N/a
Bernd Leno,deGER,GK,Fulham,33-038,1.35,68.3,16.1,0.0
Joe Lumley,engENG,GK,Southampton,30-055,2.33,65.0,0.0,N/a
Emiliano Martínez,arARG,GK,Aston Villa,32-221,1.45,65.3,13.3,50.0
Alex McCarthy,engENG,GK,Southampton,35-129,2.60,70.3,0.0,0.0
Arijanet Muric,xkKVX,GK,Ipswich Town,26-155,1.83,70.0,5.6,0.0
Neto,brBRA,GK,Bournemouth,35-266,1.00,84.6,0.0,N/a
Robin Olsen,seSWE,GK,Aston Villa,35-093,2.00,55.6,100.0,N/a
André Onana,cmCMR,GK,Manchester Utd,29-009,1.32,69.8,29.0,25.0
Stefan Ortega,deGER,GK,Manchester City,32-156,1.70,63.6,20.0,0.0
Alex Palmer,engENG,GK,Ipswich Town,28-244,2.29,60.0,0.0,N/a
Jordan Pickford,engENG,GK,Everton,31-035,1.23,69.8,29.0,100.0
Nick Pope,engENG,GK,Newcastle Utd,32-357,1.35,70.5,25.0,0.0
Hákon Rafn Valdimarsson,isISL,GK,Brentford,23-180,1.24,50.0,100.0,N/a
Aaron Ramsdale,engENG,GK,Southampton,26-332,2.35,67.3,8.7,0.0
David Raya,esESP,GK,Arsenal,29-208,0.84,77.0,35.5,0.0
José Sá,ptPOR,GK,Wolves,32-084,1.75,62.0,25.0,20.0
Robert Sánchez,esESP,GK,Chelsea,27-144,1.12,77.8,28.0,20.0
Matz Sels,beBEL,GK,Nott'ham Forest,33-044,1.19,74.3,41.9,0.0
Jason Steele,engENG,GK,Brighton,34-236,0.50,75.0,50.0,N/a
Jakub Stolarczyk,plPOL,GK,Leicester City,24-113,2.00,58.6,0.0,N/a
Mark Travers,ieIRL,GK,Bournemouth,25-328,1.00,80.0,20.0,N/a
Bart Verbruggen,nlNED,GK,Brighton,22-236,1.59,64.5,20.7,0.0
Guglielmo Vicario,itITA,GK,Tottenham,28-186,1.11,73.1,21.1,N/a
Christian Walton,engENG,GK,Ipswich Town,29-153,2.67,57.6,16.7,0.0
Danny Ward,wlsWAL,GK,Leicester City,31-293,4.00,40.0,0.0,N/a
