player,nationality,position,team,age,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,take_ons,take_ons_won_pct,take_ons_tackled_pct,carries,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,progressive_passes_received
Max Aarons,engENG,DF,Bournemouth,25-097,73,2,19,40,15,0,2,0.0,50.0,41,68,1,0,0,1,0,3
Joshua Acheampong,engENG,DF,Chelsea,18-341,137,7,48,81,8,3,2,50.0,0.0,106,409,0,2,0,2,0,0
Tyler Adams,usUSA,MF,Bournemouth,26-056,939,40,239,545,164,12,14,14.3,64.3,448,936,11,15,1,21,9,7
Tosin Adarabioyo,engENG,DF,Chelsea,27-199,1132,156,543,568,22,13,3,66.7,0.0,675,1530,5,1,0,3,0,1
Simon Adingra,ciCIV,"FW,MF",Brighton,23-100,374,6,52,115,212,48,35,42.9,57.1,246,759,27,15,13,29,9,96
Emmanuel Agbadou,ciCIV,DF,Wolves,27-298,611,96,325,274,17,2,7,85.7,14.3,361,762,1,2,0,2,3,0
Asher Agbinone,engENG,MF,Crystal Palace,19-195,8,0,0,2,6,0,2,0.0,50.0,5,23,2,0,0,0,1,1
Ola Aina,ngNGA,DF,Nott'ham Forest,28-185,1462,138,539,610,338,21,64,45.3,37.5,629,2328,54,35,10,39,21,52
Rayan Aït-Nouri,dzALG,DF,Wolves,23-309,1728,81,475,745,529,72,98,49.0,36.7,896,2577,68,50,22,38,36,147
Kristoffer Ajer,noNOR,DF,Brentford,26-359,714,47,238,334,147,33,14,50.0,42.9,348,1116,26,10,2,14,12,39
Manuel Akanji,chSUI,DF,Manchester City,29-266,1591,108,472,773,348,11,2,100.0,0.0,1041,3286,38,52,0,4,5,6
Nathan Aké,nlNED,DF,Manchester City,30-052,596,51,205,331,61,5,1,100.0,0.0,403,1501,12,12,1,4,3,2
Carlos Alcaraz,arARG,MF,Southampton,22-132,17,0,1,8,9,2,2,0.0,100.0,12,98,4,1,0,0,0,1
Carlos Alcaraz,arARG,"MF,FW",Everton,22-132,218,9,41,90,93,11,10,60.0,30.0,114,390,10,12,0,8,8,8
Trent Alexander-Arnold,engENG,DF,Liverpool,26-186,2044,82,546,902,609,39,29,44.8,48.3,1075,2652,48,35,8,19,15,87
Alisson,brBRA,GK,Liverpool,32-191,682,499,668,14,0,0,1,100.0,0.0,447,1063,0,0,0,1,0,0
Miguel Almirón,pyPAR,FW,Newcastle Utd,31-060,81,1,10,35,36,9,2,50.0,50.0,54,93,3,3,2,0,2,18
Edson Álvarez,mxMEX,MF,West Ham,27-169,1101,61,323,612,174,12,31,45.2,38.7,603,1528,21,20,2,25,13,18
Will Alves,engENG,FW,Leicester City,20-067,1,0,0,0,1,0,0,N/a,N/a,1,5,0,0,0,0,0,1
Harry Amass,engENG,DF,Manchester Utd,18-026,27,3,12,9,6,0,0,N/a,N/a,11,10,0,0,0,1,3,1
Samuel Amo-Ameyaw,engENG,"FW,DF",Southampton,18-267,16,0,5,5,7,1,4,0.0,75.0,11,68,1,0,1,0,2,3
Mathis Amougou,frFRA,MF,Chelsea,19-083,9,1,2,4,3,0,0,N/a,N/a,7,5,0,1,0,0,1,0
Joachim Andersen,dkDEN,DF,Crystal Palace,28-315,93,14,38,50,5,0,0,N/a,N/a,49,103,1,1,0,0,1,1
Joachim Andersen,dkDEN,DF,Fulham,28-315,1794,267,936,801,67,13,4,100.0,0.0,1056,2379,11,8,1,4,3,1
Elliot Anderson,engENG,MF,Nott'ham Forest,22-156,1378,76,316,648,441,55,67,49.3,38.8,688,1752,36,27,15,51,34,76
André,brBRA,MF,Wolves,23-269,1213,77,333,780,110,3,23,47.8,34.8,664,1237,7,13,0,22,13,11
Michail Antonio,jmJAM,FW,West Ham,35-014,296,3,26,124,151,36,27,33.3,48.1,173,695,29,13,9,35,19,59
Antony,brBRA,"DF,MF",Manchester Utd,25-046,101,2,22,26,54,8,11,36.4,54.5,60,182,5,6,1,5,1,7
Julian Araujo,mxMEX,DF,Bournemouth,23-241,200,15,68,103,32,1,0,N/a,N/a,84,138,2,0,0,4,2,11
Cameron Archer,engENG,FW,Southampton,23-264,329,14,53,148,131,46,29,44.8,51.7,189,443,16,7,13,29,23,58
Alphonse Areola,frFRA,GK,West Ham,32-043,814,657,808,6,0,0,0,N/a,N/a,460,1008,0,0,0,0,0,0
Joe Aribo,ngNGA,"MF,DF",Southampton,28-264,1203,46,288,632,294,44,46,39.1,47.8,708,1923,35,28,12,25,16,64
Adam Armstrong,engENG,"FW,MF",Southampton,28-060,377,11,44,143,192,49,14,42.9,57.1,235,599,25,13,6,11,18,79
Harrison Armstrong,engENG,MF,Everton,18-082,20,0,3,12,7,2,1,100.0,0.0,15,43,1,2,0,2,3,0
Kepa Arrizabalaga,esESP,GK,Bournemouth,30-190,843,617,820,22,1,1,1,100.0,0.0,488,1381,0,0,0,0,0,0
Marco Asensio,esESP,"MF,FW",Aston Villa,29-080,163,1,15,77,76,13,7,71.4,28.6,104,364,14,14,2,4,3,11
Brandon Austin,engENG,GK,Tottenham,26-093,36,30,36,0,0,0,0,N/a,N/a,22,46,0,0,0,0,0,0
Taiwo Awoniyi,ngNGA,FW,Nott'ham Forest,27-242,151,4,13,68,71,21,8,37.5,62.5,83,183,6,5,2,17,16,19
Yasin Ayari,seSWE,MF,Brighton,21-187,957,47,216,480,274,41,38,42.1,34.2,483,1051,22,17,6,31,21,54
Jordan Ayew,ghGHA,"FW,MF",Crystal Palace,33-212,12,0,0,7,5,1,0,N/a,N/a,6,12,0,0,0,0,1,1
Jordan Ayew,ghGHA,"FW,MF",Leicester City,33-212,649,18,89,331,251,46,52,36.5,51.9,389,1195,38,30,7,51,31,68
Benoît Badiashile,frFRA,DF,Chelsea,24-016,336,31,138,186,13,0,1,0.0,100.0,177,340,3,5,0,1,0,2
Leon Bailey,jmJAM,"FW,MF",Aston Villa,27-245,539,18,76,155,318,69,57,38.6,42.1,344,1334,57,22,33,35,25,121
Carlos Baleba,cmCMR,MF,Brighton,21-098,1267,56,285,751,268,10,48,60.4,33.3,688,1981,34,34,2,32,31,26
Ross Barkley,engENG,MF,Aston Villa,31-127,429,16,68,255,112,17,10,80.0,20.0,254,640,14,13,2,5,8,8
Harvey Barnes,engENG,FW,Newcastle Utd,27-123,515,10,72,166,280,78,41,39.0,48.8,369,1515,57,30,30,21,12,118
Calvin Bassey,ngNGA,DF,Fulham,25-101,2023,270,990,948,105,16,27,44.4,33.3,1295,3562,23,14,4,27,7,12
Jan Bednarek,plPOL,DF,Southampton,28-364,1809,317,940,839,37,14,3,100.0,0.0,914,1564,4,5,1,9,3,1
Armel Bella Kotchap,deGER,DF,Southampton,23-121,263,33,147,115,3,1,1,0.0,100.0,186,326,0,0,0,1,0,0
Jean-Ricner Bellegarde,frFRA,"MF,FW",Wolves,26-288,703,21,119,322,278,41,57,22.8,52.6,435,1329,45,33,10,34,23,79
Rodrigo Bentancur,uyURU,MF,Tottenham,27-290,1132,67,278,673,190,21,17,47.1,41.2,678,1203,21,22,5,15,17,30
Sander Berge,noNOR,MF,Fulham,27-056,1143,68,317,665,166,11,16,56.3,31.3,658,1502,20,18,2,9,13,8
Lucas Bergvall,seSWE,MF,Tottenham,19-068,815,34,173,442,213,20,44,47.7,43.2,494,1475,27,20,4,19,16,27
Victor Bernth Kristiansen,dkDEN,DF,Leicester City,22-116,1581,113,564,711,319,15,17,47.1,47.1,800,1806,39,25,5,13,12,75
Beto,gwGNB,FW,Everton,27-070,365,20,39,159,172,61,30,53.3,43.3,196,376,12,8,8,46,29,54
Philip Billing,dkDEN,MF,Bournemouth,28-304,148,5,20,72,57,12,3,33.3,0.0,58,163,3,1,1,7,4,13
Yves Bissouma,mlMLI,MF,Tottenham,28-224,890,56,252,503,141,5,21,33.3,66.7,537,1461,15,17,0,22,12,3
Oscar Bobb,noNOR,FW,Manchester City,21-273,2,0,1,1,0,0,0,N/a,N/a,1,0,0,0,0,0,0,0
Lamare Bogarde,nlNED,"DF,MF",Aston Villa,21-096,325,16,95,191,40,4,4,50.0,25.0,173,599,12,6,1,6,8,9
